Severity,Description,Type,Affected Files,Location,Unique ID,Short Title
Critical,"Direct SQL injection via string concatenation with user-controlled coupon_code parameter in raw cursor.execute() call. Attacker can manipulate SQL query to bypass checks or extract data.",Single Service Flaw,services/workshop/crapi/shop/views.py,Lines 386-394 (ApplyCouponView.post),VULN-001,SQL Injection in Coupon Validation
Critical,"NoSQL injection via direct unmarshaling of user JSON input into bson.M filter object. Attacker can inject MongoDB operators like $ne to bypass coupon code validation.",Single Service Flaw,services/community/api/controllers/coupon_controller.go,Lines 72-101 (ValidateCoupon),VULN-002,NoSQL Injection in Coupon Validation
Critical,"Server-Side Request Forgery (SSRF) - User-controlled mechanic_api URL is directly used in requests.get() without validation. Attacker can make server fetch arbitrary URLs including internal services.",Single Service Flaw,services/workshop/crapi/merchant/views.py,Lines 84-92 (ContactMechanicView.post),VULN-003,SSRF via Contact Mechanic API
Critical,"Command Injection - When enable_shell_injection is true conversion_params from database is concatenated into shell command without sanitization. User can inject commands via video update endpoint.",Inter-service Flaw,services/identity/src/main/java/com/crapi/service/Impl/ProfileServiceImpl.java,Lines 236-244 (convertVideo),VULN-004,OS Command Injection in Video Conversion
Critical,"JWT Algorithm Confusion Attack - Service accepts HS256 signed tokens and uses RSA public key as HMAC secret. Attacker with public key can forge valid tokens.",Single Service Flaw,services/identity/src/main/java/com/crapi/config/JwtProvider.java,Lines 179-182 (validateJwtToken),VULN-005,JWT Algorithm Confusion
Critical,"JWT JKU Header Injection - Service fetches JWKS from user-controlled JKU URL header allowing attacker to specify their own key for validation.",Single Service Flaw,services/identity/src/main/java/com/crapi/config/JwtProvider.java,Lines 130-148 (getKeyFromJkuHeader),VULN-006,JWT JKU Header SSRF/Forgery
Critical,"Unsigned JWT Acceptance - PlainJWT tokens without any signature are accepted as valid allowing complete token forgery.",Single Service Flaw,services/identity/src/main/java/com/crapi/config/JwtProvider.java,Lines 197-201 (validateJwtToken),VULN-007,Unsigned JWT Token Accepted
Critical,"JWT KID /dev/null bypass - When KID header points to /dev/null the service uses AA== as the secret which is easily guessable.",Single Service Flaw,services/identity/src/main/java/com/crapi/config/JwtProvider.java,Lines 158-161 (getJwtSecret),VULN-008,JWT KID Header Bypass
Critical,"Log4j JNDI Injection - When ENABLE_LOG4J is true user-controlled email containing jndi: is logged via Log4j allowing remote code execution via Log4Shell.",Single Service Flaw,services/identity/src/main/java/com/crapi/service/Impl/UserServiceImpl.java,Lines 92-104 (authenticateUserLogin),VULN-009,Log4Shell/JNDI Injection
High,"BOLA - Vehicle location endpoint returns vehicle location owner email and name for any carId UUID without authorization check.",Single Service Flaw,services/identity/src/main/java/com/crapi/controller/VehicleController.java,Lines 121-128 (getLocationBOLA),VULN-010,BOLA in Vehicle Location API
High,"BOLA - Service request/mechanic report can be accessed by changing report_id parameter. No ownership verification is performed.",Single Service Flaw,services/workshop/crapi/mechanic/views.py,Lines 208-244 (GetReportView.get),VULN-011,BOLA in Mechanic Report API
High,"Mass Assignment - Order PUT endpoint allows user to set status to RETURNED triggering credit refund without actual return.",Single Service Flaw,services/workshop/crapi/shop/views.py,Lines 219-259 (OrderControlView.put),VULN-012,Mass Assignment in Order Status
High,"Mass Assignment - Video update endpoint allows setting conversion_params which enables command injection when video conversion is triggered.",Single Service Flaw,services/identity/src/main/java/com/crapi/service/Impl/ProfileServiceImpl.java,Lines 142-157 (updateProfileVideo),VULN-013,Mass Assignment in Video Properties
High,"Broken User Authentication - v2/check-otp endpoint has no rate limiting allowing unlimited OTP brute force attempts.",Single Service Flaw,services/identity/src/main/java/com/crapi/controller/AuthController.java,Lines 126-134 (checkOtp),VULN-014,OTP Brute Force (No Rate Limit)
High,"BFLA - Admin video delete endpoint /api/v2/admin/videos/{video_id} allows deleting any user's video without proper admin role verification.",Single Service Flaw,services/identity/src/main/java/com/crapi/controller/ProfileController.java,Lines 129-137 (deleteVideoBOLA),VULN-015,BFLA in Admin Video Delete
High,"JWT Token Validation Bypass - Dashboard API uses getUserFromTokenWithoutValidation which extracts claims without verifying signature.",Single Service Flaw,services/identity/src/main/java/com/crapi/service/Impl/UserServiceImpl.java,Lines 201-234 (getUserByRequestToken),VULN-016,JWT Signature Bypass in Dashboard
High,"LLM Prompt Injection - Chatbot has SQLDatabaseToolkit providing direct database access. Malicious prompts can extract data or perform unauthorized actions.",Single Service Flaw,services/chatbot/src/chatbot/langgraph_agent.py,Lines 51-56 (build_langgraph_agent),VULN-017,LLM SQL Injection via Chatbot
Medium,"Excessive Data Exposure - Posts API exposes author's email vehicleID and profile picture URL in every post response.",Single Service Flaw,services/community/api/models/post.go,Lines 76-84 (Prepare Author),VULN-018,Excessive Data Exposure in Posts
Medium,"Unauthenticated Access - Service requests can be fetched by VIN without any authentication check.",Single Service Flaw,services/workshop/crapi/merchant/views.py,Lines 166-200 (UserServiceRequestsView.get),VULN-019,Unauthenticated Service Request Access
Medium,"Unauthenticated Access - Order GET endpoint fetches order details without authentication decorator.",Single Service Flaw,services/workshop/crapi/shop/views.py,Lines 109-165 (OrderControlView.get),VULN-020,Unauthenticated Order Access
Medium,"Denial of Service - Contact mechanic allows up to 100 request repeats in a tight loop causing resource exhaustion.",Single Service Flaw,services/workshop/crapi/merchant/views.py,Lines 69-100 (ContactMechanicView repeat logic),VULN-021,Application-Layer DoS via Repeat Requests
Medium,"Excessive Data Exposure - Coupon validation returns full coupon details including amount for any matched query.",Inter-service Flaw,services/community/api/controllers/coupon_controller.go,Lines 94-101 (ValidateCoupon response),VULN-022,Excessive Data in Coupon Response
Medium,"Potential Path Traversal - Download report endpoint uses filename from user input. Validation regex may be bypassed with encoded characters.",Single Service Flaw,services/workshop/crapi/mechanic/views.py,Lines 377-408 (DownloadReportView.get),VULN-023,Potential Path Traversal in Report Download
Low,"CORS Misconfiguration - Access-Control-Allow-Origin is set to * allowing any origin to make authenticated requests.",Single Service Flaw,services/community/api/middlewares/middlewares.go,Lines 41-52 (AccessControlMiddleware),VULN-024,Overly Permissive CORS Policy
Low,"Insecure TLS Configuration - HTTP client uses InsecureSkipVerify:true disabling certificate validation for inter-service communication.",Inter-service Flaw,services/community/api/auth/token.go,Line 56 (ExtractTokenID),VULN-025,TLS Certificate Validation Disabled
Low,"Weak OTP - 4-digit numeric OTP is generated which has only 10000 possible combinations making brute force feasible.",Single Service Flaw,services/identity/src/main/java/com/crapi/service/Impl/OtpServiceImpl.java,Line 141 (generateOtp),VULN-026,Weak OTP Entropy
