Severity,Description,Type,Affected Files,Location,Unique ID,Short Title
Critical,"The `getLocationBOLA` endpoint returns vehicle location for any `carId` (UUID) without checking if the requesting user owns the vehicle. This allows tracking any user's vehicle.",Single Service Flaw,"services/identity/src/main/java/com/crapi/controller/VehicleController.java","Line 121-128 (getLocationBOLA)",CRAPI-001,BOLA in Vehicle Location
Critical,"The `convertVideo` method executes a shell command using `BashCommand` with user-supplied parameters (`conversion_params`) injected directly into the command string. This allows Remote Code Execution (RCE) if shell injection is enabled.",Single Service Flaw,"services/identity/src/main/java/com/crapi/service/Impl/ProfileServiceImpl.java","Line 240-244 (convertVideo)",CRAPI-002,Remote Code Execution (Command Injection)
Critical,"The `ValidateCoupon` endpoint unmarshals the entire JSON body into a `bson.M` map and passes it directly to a MongoDB query. Attackers can inject MongoDB operators (e.g., `$ne`) to bypass validation.",Single Service Flaw,"services/community/api/controllers/coupon_controller.go","Line 94 (ValidateCoupon) -> Line 80 (ValidateCode)",CRAPI-003,NoSQL Injection in Coupons
Critical,"The `FindAuthorByEmail` function sets package-level global variables (`autherID`, `nickname`, etc.) for request-scoped user data. In a concurrent environment, this Race Condition allows users to assume the identity of other users processing requests simultaneously.",Single Service Flaw,"services/community/api/models/user.go","Line 32-37 (Global Vars), Line 101 (FindAuthorByEmail)",CRAPI-004,Race Condition / Identity Spoofing
Critical,"The `JwtProvider` allows the usage of the public RSA key as an HMAC secret when the algorithm is set to `HS256`. This is a JWT Algorithm Confusion vulnerability allowing signature bypass.",Single Service Flaw,"services/identity/src/main/java/com/crapi/config/JwtProvider.java","Line 179-183 (validateJwtToken)",CRAPI-005,JWT Algorithm Confusion
High,"The `ApplyCouponView` constructs a raw SQL query using string concatenation with the user-supplied `coupon_code`, leading to SQL Injection.",Single Service Flaw,"services/workshop/crapi/shop/views.py","Line 388-394 (ApplyCouponView.post)",CRAPI-006,SQL Injection in Shop
High,"The `OrderControlView` retrieves an order by `order_id` and returns full details (including user info) without verifying if the requesting user owns the order.",Single Service Flaw,"services/workshop/crapi/shop/views.py","Line 122-124 (OrderControlView.get)",CRAPI-007,BOLA in Order Details
High,"The `checkOtp` endpoint allows unlimited attempts to verify a 4-digit OTP. The counter is incremented but never blocks the user or invalidates the OTP effectively.",Single Service Flaw,"services/identity/src/main/java/com/crapi/controller/AuthController.java","Line 126 (checkOtp) / OtpServiceImpl.java Line 86",CRAPI-008,Broken Authentication (OTP Brute Force)
High,"The `ContactMechanicView` accepts an arbitrary URL in `mechanic_api` and performs a GET request to it without validation. This allows Server Side Request Forgery (SSRF) and potential internal network scanning.",Single Service Flaw,"services/workshop/crapi/merchant/views.py","Line 87 (ContactMechanicView.post)",CRAPI-009,SSRF in Mechanic Contact
High,"The `UserServiceRequestsView` exposes service requests by VIN via the URL `service_requests/(?P<vin>[^/]+)$` without any authentication decorator (`@jwt_auth_required`) or ownership check. Anyone can read any vehicle's service history.",Single Service Flaw,"services/workshop/crapi/merchant/views.py","Line 166 (UserServiceRequestsView.get)",CRAPI-010,Unauthenticated Access / BOLA in Service Requests
High,"The Chatbot service gives the LLM agent a `SQLDatabaseToolkit` connected as `admin` to the main `postgresdb`. A user can use Prompt Injection to read or modify sensitive database tables via the Chatbot.",Single Service Flaw,"services/chatbot/src/chatbot/langgraph_agent.py","Line 52 (SQLDatabaseToolkit) / extensions.py Line 8",CRAPI-011,Unsafe LLM Database Access
Medium,"The `GetReportView` fetches service reports using `report_id` without verifying if the user is the vehicle owner or the assigned mechanic.",Single Service Flaw,"services/workshop/crapi/mechanic/views.py","Line 235 (GetReportView.get)",CRAPI-012,BOLA in Mechanic Reports
Medium,"The `deleteVideoBOLA` endpoint is intended for admins but only checks for authentication, not the `ADMIN` role. This is a Broken Function Level Authorization (BFLA).",Single Service Flaw,"services/identity/src/main/java/com/crapi/controller/ProfileController.java","Line 130 (deleteVideoBOLA)",CRAPI-013,BFLA in Video Deletion
Medium,"The `JwtProvider` trusts the `jku` (JSON Key URL) header in the JWT to fetch the verification key. An attacker can host a key and sign their own tokens if they can reach the URL.",Single Service Flaw,"services/identity/src/main/java/com/crapi/config/JwtProvider.java","Line 130-148 (getKeyFromJkuHeader)",CRAPI-014,Unsafe JWT JKU Header Trust
Medium,"The `convertVideo` endpoint allows triggering video conversion for any `video_id` provided by the user, without checking ownership.",Single Service Flaw,"services/identity/src/main/java/com/crapi/service/Impl/ProfileServiceImpl.java","Line 204 (convertVideo)",CRAPI-015,BOLA in Video Conversion Trigger
Medium,"The `loginWithToken` endpoint allows login via an email token. If tokens are predictable or leaked, it bypasses password authentication.",Single Service Flaw,"services/identity/src/main/java/com/crapi/controller/AuthController.java","Line 169 (loginWithTokenV2)",CRAPI-016,Broken Authentication (Weak Token
