Severity,Description,Type,Affected Files,Location,Unique ID,Short Title
Critical,"JWT auth bypass: calls identity verify with TLS verification disabled (verify=False) and then decodes JWT with signature verification disabled (verify_signature=False). Attacker can forge tokens/impersonate users if identity response can be spoofed/MITM’d or if identity verification is weak.",Inter-service Flaw,"services/workshop/utils/jwt.py","Lines 32-90 (jwt_auth_required; verify=False at ~54; jwt.decode verify_signature=False at ~61)",CRAPI-API2-001,Unsigned JWT Accepted (Workshop)
Critical,"JWT auth bypass: community service disables TLS verification (InsecureSkipVerify), trusts identity /verify HTTP status, and parses JWT claims without verifying signature (ParseUnverified). Also accepts tokens via URL query (?token=) risking leakage.",Inter-service Flaw,"services/community/api/auth/token.go","Lines 39-102 (ExtractToken + ExtractTokenID; InsecureSkipVerify at ~56; ParseUnverified at ~81)",CRAPI-API2-002,Unsigned JWT + Token-in-URL (Community)
High,"Auth context mix-up/race: request-scoped identity fields are stored in package-level globals (autherID/nickname/userEmail/etc). Concurrent requests can bleed identities across users causing cross-tenant actions/data.",Single Service Flaw,"services/community/api/models/user.go; services/community/api/models/post.go","user.go Lines 32-37 (globals) + Lines 101-135 (FindAuthorByEmail sets globals); post.go Lines 43-51 (Prepare uses globals)",CRAPI-API1-001,Global Auth Context (Concurrency)
Critical,"Broken auth + IDOR: GET /api/shop/orders/{order_id} is missing @jwt_auth_required and fetches Order by id, returning order details and payment info. Unauthenticated callers can enumerate order_id.",Single Service Flaw,"services/workshop/crapi/shop/views.py; services/workshop/crapi/shop/urls.py","views.py Lines 104-166 (OrderControlView.get); urls.py Lines 28-30 (orders route)",CRAPI-API1-002,Unauthenticated Order Read (IDOR)
Critical,"Broken auth + IDOR: GET /api/mechanic/service_request/{service_request_id} is missing @jwt_auth_required and returns the service request by id (nested vehicle/owner). Unauthenticated enumeration possible.",Single Service Flaw,"services/workshop/crapi/mechanic/views.py; services/workshop/crapi/mechanic/urls.py","views.py Lines 368-375 (ServiceRequestView.get); urls.py Lines 35-38 (service_request route)",CRAPI-API1-003,Unauthenticated Service Request Read (IDOR)
High,"IDOR: authenticated mechanics can comment/read/update service requests by arbitrary service_request_id without verifying assignment/ownership (only role is checked for comment POST).",Single Service Flaw,"services/workshop/crapi/mechanic/views.py","Lines 294-340 (ServiceCommentView) + Lines 347-367 (ServiceRequestView.put)",CRAPI-API1-004,Mechanic Cross-Request IDOR
High,"SSRF + token exfil: user-controlled mechanic_api URL is fetched server-side; the caller’s Authorization header is forwarded to that URL; TLS verification is disabled. Enables SSRF/internal scanning and credential leakage.",Single Service Flaw,"services/workshop/crapi/merchant/views.py; services/workshop/crapi/merchant/urls.py","views.py Lines 45-128 (ContactMechanicView.post; request_url from mechanic_api at ~84; requests.get at ~87-92); urls.py Lines 23-25",CRAPI-API7-001,SSRF via mechanic_api + Auth Forward
High,"Broken auth + IDOR: GET /api/merchant/service_requests/{vin} has no @jwt_auth_required and returns service requests for any VIN. VINs are enumerable; leaks service history.",Single Service Flaw,"services/workshop/crapi/merchant/views.py; services/workshop/crapi/merchant/urls.py","views.py Lines 166-200 (UserServiceRequestsView.get); urls.py Lines 25-28 (service_requests/<vin>)",CRAPI-API1-005,Unauthenticated VIN→Service Requests (IDOR)
Medium,"Broken function-level authorization: /api/management/users/all is intended for admin but only requires JWT; no ADMIN/role check. Any authenticated user can list user details (emails/numbers + credit).",Single Service Flaw,"services/workshop/crapi/user/views.py; services/workshop/crapi/user/urls.py","views.py Lines 35-72 (AdminUserView.get); urls.py Lines 23-26 (users/all)",CRAPI-API5-001,Admin Users List Missing Role Check
High,"Unsafe consumption of API: payment gateway call uses verify=False (no TLS verification). Allows MITM/tampering of payment responses; combined with unauthenticated order read this amplifies sensitive exposure.",Inter-service Flaw,"services/workshop/crapi/shop/views.py","Lines 131-165 (OrderControlView.get; requests.post verify=False at ~141-150)",CRAPI-API10-001,Insecure Payment Gateway Call (verify=False)
Critical,"SQL injection + business logic abuse: ApplyCouponView concatenates coupon_code into raw SQL and then credits user by client-supplied amount. Enables SQLi and credit inflation.",Single Service Flaw,"services/workshop/crapi/shop/views.py; services/workshop/crapi/shop/serializers.py","views.py Lines 386-426 (SQL concat at ~388-394; credit += amount at ~424-426); serializers.py Lines 63-70 (CouponSerializer includes amount)",CRAPI-API6-001,Coupon SQLi + Client-Controlled Credit Amount
Medium,"Broken function-level authorization: any authenticated user can create products via POST /api/shop/products (no admin/role enforcement). Enables fraud/abuse.",Single Service Flaw,"services/workshop/crapi/shop/views.py; services/workshop/crapi/shop/urls.py","views.py Lines 82-101 (ProductView.post); urls.py Lines 25-26 (products route)",CRAPI-API5-002,Product Creation Missing Role Check
High,"Unsafe consumption of API (trust-all TLS): identity service RestTemplate trusts all certs and disables hostname verification when calling API gateway. Enables MITM/tampering of ownership data.",Inter-service Flaw,"services/identity/src/main/java/com/crapi/service/Impl/VehicleOwnershipServiceImpl.java","Lines 67-105 (restTemplate trust-all + NoopHostnameVerifier; getPreviousOwners calls /v1/vin/ownership)",CRAPI-API10-002,Identity→Gateway Trust-All TLS
High,"Sensitive data exposure + hardcoded creds: gateway returns VIN ownership records including SSN/address; protected only by hardcoded Basic Auth credentials in source.",Single Service Flaw,"services/gateway-service/main.go","Lines 19-29 (VINOwner includes SSN/address); Lines 66-107 (GetOwners); Lines 153-158 (hardcoded creds)",CRAPI-API3-001,VIN Ownership PII + Hardcoded Basic Auth
Medium,"Potential IDOR: community GetPostByID returns any post by ID without per-object authorization in handler. If posts are meant to be private/user-scoped, this is IDOR; if posts are public, ignore.",Single Service Flaw,"services/community/api/controllers/post_controller.go; services/community/api/router/routes.go","post_controller.go Lines 62-77 (GetPostByID); routes.go Lines 49-50 (posts/{postID} route)",CRAPI-API1-006,Potential IDOR on Community Posts
Medium,"Unsafe consumption of API (TLS disabled): chatbot MCP server uses httpx verify=False for auth and API calls, enabling MITM of credentials/tokens and responses.",Inter-service Flaw,"services/chatbot/src/mcpserver/server.py","Lines 38-45 (httpx.Client verify=False) + Lines 71-75 (AsyncClient verify=False)",CRAPI-API10-003,Chatbot Trusts Any TLS Cert

